row_key,frame_id,feature_ts_ns,tick,ts_s,certified_full,v_full_raw_mps,response_status,history_samples,fresh_tail_samples,recent_samples,fresh_tail_span_s,max_gap_s,last_sample_cap
20260719T201851-50f9dcc8|frame=423|feature_ts_ns=1784492342977265600,423,1784492342977265600,525,10.5085458,True,,ABSENT_RESPONSE,115,2,2,0.034341299999999464,0.12,12
20260719T201851-50f9dcc8|frame=424|feature_ts_ns=1784492343011764000,424,1784492343011764000,527,10.5422636,True,,ABSENT_RESPONSE,115,2,2,0.034341299999999464,0.12,12
20260719T201851-50f9dcc8|frame=425|feature_ts_ns=1784492343047188400,425,1784492343047188400,529,10.576402,True,,ABSENT_RESPONSE,115,2,2,0.034341299999999464,0.12,12
20260719T201851-50f9dcc8|frame=426|feature_ts_ns=1784492343074225600,426,1784492343074225600,530,10.6034105,True,,ABSENT_RESPONSE,115,2,2,0.034341299999999464,0.12,12
20260719T201851-50f9dcc8|frame=427|feature_ts_ns=1784492343109011100,427,1784492343109011100,532,10.6397334,True,,ABSENT_RESPONSE,115,2,2,0.034341299999999464,0.12,12
20260719T201851-50f9dcc8|frame=430|feature_ts_ns=1784492343213165800,430,1784492343213165800,537,10.7430075,True,,ABSENT_RESPONSE,115,2,2,0.034341299999999464,0.12,12
20260719T201851-50f9dcc8|frame=432|feature_ts_ns=1784492343276043700,432,1784492343276043700,540,10.8057479,True,,ABSENT_RESPONSE,115,2,2,0.034341299999999464,0.12,12
20260719T201851-50f9dcc8|frame=433|feature_ts_ns=1784492343310248000,433,1784492343310248000,542,10.8414334,True,,ABSENT_RESPONSE,115,2,2,0.034341299999999464,0.12,12
20260719T201851-50f9dcc8|frame=434|feature_ts_ns=1784492343345096900,434,1784492343345096900,544,10.8756829,True,,ABSENT_RESPONSE,115,2,2,0.034341299999999464,0.12,12
20260719T201851-50f9dcc8|frame=435|feature_ts_ns=1784492343379789300,435,1784492343379789300,546,10.9111845,True,,ABSENT_RESPONSE,115,2,2,0.034341299999999464,0.12,12
20260719T201851-50f9dcc8|frame=437|feature_ts_ns=1784492343442846000,437,1784492343442846000,549,10.976804,True,,ABSENT_RESPONSE,115,2,2,0.034341299999999464,0.12,12
20260719T201851-50f9dcc8|frame=438|feature_ts_ns=1784492343476958800,438,1784492343476958800,550,11.0073813,True,,ABSENT_RESPONSE,116,1,1,0.0,0.12,12
20260719T201851-50f9dcc8|frame=439|feature_ts_ns=1784492343511701600,439,1784492343511701600,552,11.0426974,True,,ABSENT_RESPONSE,117,2,2,0.035316099999999295,0.12,12
20260719T201851-50f9dcc8|frame=440|feature_ts_ns=1784492343546403300,440,1784492343546403300,554,11.076604,True,,ABSENT_RESPONSE,117,2,2,0.035316099999999295,0.12,12
20260719T201851-50f9dcc8|frame=441|feature_ts_ns=1784492343574167000,441,1784492343574167000,555,11.103073,True,,ABSENT_RESPONSE,117,2,2,0.035316099999999295,0.12,12
20260719T201851-50f9dcc8|frame=447|feature_ts_ns=1784492343775486200,447,1784492343775486200,565,11.3042135,True,,ABSENT_RESPONSE,117,2,2,0.035316099999999295,0.12,12
