slice,frame_id,cyan_frac,h_mean,s_mean,v_mean,gate_hit,gate_dist_px,n_gates_proxy
r2_f3,43,0.170516,98.90,196.6,124.4,True,9.1,1
r2_f3,43,0.170516,98.90,196.6,124.4,True,9.1,1
r2_f3,43,0.170516,98.90,196.6,124.4,True,9.1,1
r2_f3,43,0.170516,98.90,196.6,124.4,True,9.1,1
r2_f3,43,0.170516,98.90,196.6,124.4,True,9.1,1
r2_f3,43,0.170516,98.90,196.6,124.4,True,9.1,1
r2_f3,43,0.170516,98.90,196.6,124.4,True,9.1,1
r2_f3,43,0.170516,98.90,196.6,124.4,True,9.1,1
r2_f3,43,0.170516,98.90,196.6,124.4,True,9.1,1
r2_f3,44,0.162648,98.99,194.8,120.7,True,0.6,1
r2_f3,44,0.162648,98.99,194.8,120.7,True,0.6,1
r2_f3,44,0.162648,98.99,194.8,120.7,True,0.6,1
r2_f3,44,0.162648,98.99,194.8,120.7,True,0.6,1
r2_f3,44,0.162648,98.99,194.8,120.7,True,0.6,1
r2_f3,44,0.162648,98.99,194.8,120.7,True,0.6,1
r2_f3,44,0.162648,98.99,194.8,120.7,True,0.6,1
r2_f3,44,0.162648,98.99,194.8,120.7,True,0.6,1
r2_f3,45,0.154301,99.05,193.5,118.2,True,0.7,1
r2_f3,45,0.154301,99.05,193.5,118.2,True,0.7,1
r2_f3,45,0.154301,99.05,193.5,118.2,True,0.7,1
r2_f3,45,0.154301,99.05,193.5,118.2,True,0.7,1
r2_f3,45,0.154301,99.05,193.5,118.2,True,0.7,1
r2_f3,45,0.154301,99.05,193.5,118.2,True,0.7,1
r2_f3,45,0.154301,99.05,193.5,118.2,True,0.7,1
r2_f3,45,0.154301,99.05,193.5,118.2,True,0.7,1
r2_f3,45,0.154301,99.05,193.5,118.2,True,0.7,1
r2_f3,46,0.145712,99.07,191.8,115.4,True,0.6,1
r2_f3,46,0.145712,99.07,191.8,115.4,True,0.6,1
r2_f3,46,0.145712,99.07,191.8,115.4,True,0.6,1
r2_f3,46,0.145712,99.07,191.8,115.4,True,0.6,1
r2_f3,46,0.145712,99.07,191.8,115.4,True,0.6,1
r2_f3,46,0.145712,99.07,191.8,115.4,True,0.6,1
r2_f3,46,0.145712,99.07,191.8,115.4,True,0.6,1
r2_f3,47,0.134948,99.12,190.3,112.9,True,0.6,1
r2_f3,47,0.134948,99.12,190.3,112.9,True,0.6,1
r2_f3,47,0.134948,99.12,190.3,112.9,True,0.6,1
r2_f3,47,0.134948,99.12,190.3,112.9,True,0.6,1
r2_f3,47,0.134948,99.12,190.3,112.9,True,0.6,1
r2_f3,47,0.134948,99.12,190.3,112.9,True,0.6,1
r2_f3,47,0.134948,99.12,190.3,112.9,True,0.6,1
r2_f3,48,0.120951,99.16,188.7,111.3,True,0.6,1
r2_f3,48,0.120951,99.16,188.7,111.3,True,0.6,1
r2_f3,48,0.120951,99.16,188.7,111.3,True,0.6,1
r2_f3,48,0.120951,99.16,188.7,111.3,True,0.6,1
