approach_id,cluster_id,flight,flight_id,anchor_frame_id,age_s,age_bin,r_v_mps,rv2_m2ps2,auth_at_latch,n_full_at_latch,span_full_at_latch_s
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,244,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3398010730743408
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,244,0.2,0p20-0p30,0.0,0.0,1.0,11,0.3398010730743408
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,244,0.3,0p30-0p40,0.0,0.0,1.0,11,0.3398010730743408
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,244,0.4,0p40-0p50,0.0,0.0,1.0,11,0.3398010730743408
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,245,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3323683738708496
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,245,0.2,0p20-0p30,0.0,0.0,1.0,11,0.3323683738708496
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,245,0.3,0p30-0p40,0.0,0.0,1.0,11,0.3323683738708496
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,245,0.4,0p40-0p50,0.0,0.0,1.0,11,0.3323683738708496
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,246,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3412933349609375
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,246,0.2,0p20-0p30,0.0,0.0,1.0,11,0.3412933349609375
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,246,0.3,0p30-0p40,0.0,0.0,1.0,11,0.3412933349609375
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,246,0.4,0p40-0p50,0.0,0.0,1.0,11,0.3412933349609375
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,247,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3332498073577881
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,247,0.2,0p20-0p30,0.0,0.0,1.0,11,0.3332498073577881
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,247,0.3,0p30-0p40,0.0,0.0,1.0,11,0.3332498073577881
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,247,0.4,0p40-0p50,0.0,0.0,1.0,11,0.3332498073577881
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,248,0.1,0p10-0p20,0.0,0.0,1.0,11,0.32872819900512695
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,248,0.2,0p20-0p30,0.0,0.0,1.0,11,0.32872819900512695
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,248,0.3,0p30-0p40,0.0,0.0,1.0,11,0.32872819900512695
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,249,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3271958827972412
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,249,0.2,0p20-0p30,0.0,0.0,1.0,11,0.3271958827972412
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,249,0.3,0p30-0p40,0.0,0.0,1.0,11,0.3271958827972412
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,250,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3330807685852051
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,250,0.2,0p20-0p30,0.0,0.0,1.0,11,0.3330807685852051
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,250,0.3,0p30-0p40,0.0,0.0,1.0,11,0.3330807685852051
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,251,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3332836627960205
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,251,0.2,0p20-0p30,0.0,0.0,1.0,11,0.3332836627960205
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,252,0.1,0p10-0p20,0.0,0.0,1.0,11,0.33507871627807617
