g,tau_s,L_ticks,rows_used,scoring_rows,post_lag_rows,max_horizon_s,max_post_lag_horizon_s,sse,mse,rms_mps,eligible,candidate_type,failing_rule,ineligible_reason
0.0,0.14,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.16,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.18,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.2,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.22,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.24,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.26,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.28,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.3,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.32,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.34,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.36,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.38,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.4,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.42,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.44,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.46,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.48,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.5,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.52,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.54,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.56,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.58,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.6,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.02,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
