flight_id,attempt_n,t_closest_s,t_lastfix_s,R_closest_m,R_lastfix_m,phantom_dz,true_dz,gap_height_believed_minus_true,age_s,old_label,true_label
20260716T113216-8edfeec4,1,28.5970955,27.1139549,1.2311557654306196,3.9938677187928247,-0.2065106275923575,1.0185780152583694,1.2250886428507268,1.474511472,HIGH,HIGH
20260716T114244-8edfeec4,1,19.5045465,18.2977991,2.2452410550229343,4.433845025864272,0.045113778458823195,1.3972013195909612,1.352087541132138,1.211562392,HIGH,HIGH
20260716T130659-8edfeec4,1,27.0672083,25.8617321,0.8871688081776545,2.9939420413940026,0.17161828954388003,1.0733868417612054,0.9017685522173253,1.19427296,CENTERED,HIGH
20260716T131137-2ca531c3,1,26.2251324,25.1335118,0.10285874582309801,3.3038621120533653,1.006598814708883,1.905354841469873,0.8987560267609902,1.081753008,CENTERED,CENTERED
20260716T131630-8edfeec4,1,27.7507914,27.6641231,1.371324708602479,1.6633837497748964,-0.6663602385238924,-0.1690367548391956,0.49732348368469675,0.074478336,LOW,CENTERED
20260716T131802-8edfeec4,1,26.3538383,25.1631772,2.127236134233661,4.252455743339643,0.6087498288853682,1.8546389827033827,1.2458891538180143,1.19535452,HIGH,HIGH
20260716T131802-8edfeec4,2,32.1341015,31.0273099,4.262786917425408,6.208326369393231,-1.1205313211940042,-2.8203979828927066,-1.6998666616987024,1.2132688,HIGH,LOW
20260716T133531-927a4c97,1,26.2424747,25.0271237,1.1963884958511386,4.923478297884888,0.9689648950084252,2.3856694976527417,1.4167046026443164,1.18889644,HIGH,HIGH
20260716T134309-927a4c97,1,26.9263069,26.8483878,2.982057984620541,4.397692303733401,-1.9300312999006193,-0.702906495426129,1.2271248044744902,0.903611136,LOW,HIGH
20260716T134309-927a4c97,2,30.1069371,29.360403,2.7263653653386597,4.153388717045119,-2.362359104002679,-1.7565623622188702,0.6057967417838088,1.266822768,LOW,CENTERED
