flight_id,frame_id,feature_ts_ns,mono_ns,mapped_tick,tick_mismatch_ns,t_rel_setpoint_grid_s,e_meas_m,range_z_m,v_full_raw_mps,full_history_n,full_history_span_s,input_validity,level_pitch_rad,level_roll_rad
20260719T201851-50f9dcc8,361,1784492340908167300,169011018220300,422,479300,8.44,-0.45,-2.308876238703189,-0.0,8,0.2294931411743164,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,362,1784492340944167100,169011052152700,424,6546900,8.48,-0.45,-2.4268469609130316,-0.0,9,0.26549291610717773,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,363,1784492340977362400,169011087339000,425,8639400,8.5,-0.45,-2.5355677502350398,-0.0,10,0.2986881732940674,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,364,1784492341012002900,169011122129800,427,3430200,8.540000000000001,-0.45,-2.6489371324141033,-0.0,11,0.3333284854888916,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,365,1784492341046718500,169011156679700,429,2019900,8.58,-0.45,-2.7630615395860803,-0.0,12,0.3680441379547119,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,366,1784492341074623300,169011183178500,430,4478900,8.6,-0.45,-2.854915784156029,-0.0,13,0.395949125289917,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,367,1784492341109183000,169011219671100,432,971500,8.64,-0.45,-2.9678941166093615,-0.0,14,0.4305088520050049,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,368,1784492341143906600,169011252735600,434,5964000,8.68,-0.45,,-0.0,15,0.46523237228393555,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,369,1784492341178543900,169011287790900,435,9091300,8.700000000000001,-0.45,,-0.0,16,0.49986958503723145,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,411,1784492342574422400,169012686061000,505,7361400,10.1,-0.45,0.14411391251261677,,1,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,412,1784492342609110300,169012719164000,507,464400,10.14,-0.45,0.04924070336468818,,2,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,414,1784492342679047200,169012789884900,511,8814700,10.22,-0.45,-0.17850629761368358,,3,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,415,1784492342713399500,169012823776600,512,5077000,10.24,-0.45,-0.33966841266962633,-0.0,4,0.13897705078125,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,421,1784492342907919900,169013016899300,522,1800300,10.44,-0.45,10.870428374634926,-0.0,5,0.3334972858428955,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,422,1784492342942628000,169013051240600,524,7459000,10.48,-0.45,10.634447670140734,-0.0,6,0.36820554733276367,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,438,1784492343476958800,169013586080900,550,7381300,11.0,-0.45,8.102969241015485,,1,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
