flight_id,cohort,source_class,term_status_rows,term_status_owner_term_rows,shadow_owner_term_rows,shadow_up_range_mps,term_status_owner_values,path
20260716T165535-927a4c97,fixtures/20260716T174215-phase4c-r2training-chain,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T174215-phase4c-r2training-chain\20260716T165535-927a4c97-flight.jsonl
20260716T203450-2ca531c3,fixtures/20260716T212744-phase5-closerange-frames,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T212744-phase5-closerange-frames\20260716T203450-2ca531c3-flight.jsonl
20260716T212408-2ca531c3,fixtures/20260716T212744-phase5-closerange-frames,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T212744-phase5-closerange-frames\20260716T212408-2ca531c3-flight.jsonl
20260717T090941-debf3ec1,fixtures/20260717T092008-phase5b-confirm,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T092008-phase5b-confirm\20260717T090941-debf3ec1-flight.jsonl
20260717T091107-debf3ec1,fixtures/20260717T092008-phase5b-confirm,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T092008-phase5b-confirm\20260717T091107-debf3ec1-flight.jsonl
20260717T091239-debf3ec1,fixtures/20260717T092008-phase5b-confirm,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T092008-phase5b-confirm\20260717T091239-debf3ec1-flight.jsonl
20260717T095722-a560c093,fixtures/20260717T100347-phase5c-ownership,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T100347-phase5c-ownership\20260717T095722-a560c093-flight.jsonl
20260717T095851-a560c093,fixtures/20260717T100347-phase5c-ownership,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T100347-phase5c-ownership\20260717T095851-a560c093-flight.jsonl
20260717T100017-a560c093,fixtures/20260717T100347-phase5c-ownership,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T100347-phase5c-ownership\20260717T100017-a560c093-flight.jsonl
20260717T101837-7223cc0c,fixtures/20260717T102447-phase5d-vertical,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T102447-phase5d-vertical\20260717T101837-7223cc0c-flight.jsonl
20260717T102007-7223cc0c,fixtures/20260717T102447-phase5d-vertical,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T102447-phase5d-vertical\20260717T102007-7223cc0c-flight.jsonl
20260717T102132-7223cc0c,fixtures/20260717T102447-phase5d-vertical,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T102447-phase5d-vertical\20260717T102132-7223cc0c-flight.jsonl
20260717T142306-7223cc0c,fixtures/20260717T143144-phase5e-shadow,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T143144-phase5e-shadow\20260717T142306-7223cc0c-flight.jsonl
20260717T142426-7223cc0c,fixtures/20260717T143144-phase5e-shadow,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T143144-phase5e-shadow\20260717T142426-7223cc0c-flight.jsonl
20260717T142546-7223cc0c,fixtures/20260717T143144-phase5e-shadow,shadow-only-excluded,0,0,8,0.145771..0.947372,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T143144-phase5e-shadow\20260717T142546-7223cc0c-flight.jsonl
20260717T151002-a9753343,fixtures/20260717T152216-phase5f-terminal,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T152216-phase5f-terminal\20260717T151002-a9753343-flight.jsonl
20260717T151126-a9753343,fixtures/20260717T152216-phase5f-terminal,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T152216-phase5f-terminal\20260717T151126-a9753343-flight.jsonl
20260717T151254-e179e097,fixtures/20260717T152216-phase5f-terminal,shadow-only-excluded,0,0,63,-1.260357..-0.281056,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T152216-phase5f-terminal\20260717T151254-e179e097-flight.jsonl
20260717T151717-e179e097,fixtures/20260717T152216-phase5f-terminal,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T152216-phase5f-terminal\20260717T151717-e179e097-flight.jsonl
20260717T153048-927a4c97,fixtures/20260717T154500-phase6a-control-old,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T154500-phase6a-control-old\20260717T153048-927a4c97-flight.jsonl
20260717T153307-927a4c97,fixtures/20260717T154500-phase6a-control-old,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T154500-phase6a-control-old\20260717T153307-927a4c97-flight.jsonl
20260717T153748-d946830d,fixtures/20260717T154501-phase6a-dash,shadow-only-excluded,0,0,121,-1.185619..0.936194,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T154501-phase6a-dash\20260717T153748-d946830d-flight.jsonl
20260717T153903-d946830d,fixtures/20260717T154501-phase6a-dash,shadow-only-excluded,0,0,107,-1.692720..-0.148094,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T154501-phase6a-dash\20260717T153903-d946830d-flight.jsonl
20260719T074950-fab49fbf,fixtures/20260719T080320-phase6b-aligned-dash,shadow-only-excluded,0,0,95,-1.139958..0.126017,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T080320-phase6b-aligned-dash\20260719T074950-fab49fbf-flight.jsonl
20260719T075333-fab49fbf,fixtures/20260719T080320-phase6b-aligned-dash,shadow-only-excluded,0,0,60,-0.583452..1.509018,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T080320-phase6b-aligned-dash\20260719T075333-fab49fbf-flight.jsonl
20260719T080255-fab49fbf,fixtures/20260719T080320-phase6b-aligned-dash,shadow-only-excluded,0,0,179,-1.298135..1.026376,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T080320-phase6b-aligned-dash\20260719T080255-fab49fbf-flight.jsonl
20260719T121141-f186c83e,fixtures/20260719T121704-phase6c-true-vertical,shadow-only-excluded,0,0,186,-0.558351..2.271437,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T121704-phase6c-true-vertical\20260719T121141-f186c83e-flight.jsonl
20260719T121258-f186c83e,fixtures/20260719T121704-phase6c-true-vertical,shadow-only-excluded,0,0,59,0.506228..1.085781,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T121704-phase6c-true-vertical\20260719T121258-f186c83e-flight.jsonl
20260719T121637-f186c83e,fixtures/20260719T121704-phase6c-true-vertical,shadow-only-excluded,0,0,121,-0.901830..2.732719,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T121704-phase6c-true-vertical\20260719T121637-f186c83e-flight.jsonl
20260719T134326-2477345e,fixtures/20260719T134835-phase6d-fiction-guards,shadow-only-excluded,0,0,253,-0.932562..2.126647,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T134835-phase6d-fiction-guards\20260719T134326-2477345e-flight.jsonl
20260719T134446-2477345e,fixtures/20260719T134835-phase6d-fiction-guards,shadow-only-excluded,0,0,113,-0.929168..2.174250,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T134835-phase6d-fiction-guards\20260719T134446-2477345e-flight.jsonl
20260719T134714-2477345e,fixtures/20260719T134835-phase6d-fiction-guards,shadow-only-excluded,0,0,230,-1.272316..1.233753,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T134835-phase6d-fiction-guards\20260719T134714-2477345e-flight.jsonl
20260719T142919-a76247fb,fixtures/20260719T143556-phase6e-aim-tfv1,shadow-only-excluded,0,0,170,-1.757696..1.698443,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T143556-phase6e-aim-tfv1\20260719T142919-a76247fb-flight.jsonl
20260719T143404-a76247fb,fixtures/20260719T143556-phase6e-aim-tfv1,shadow-only-excluded,0,0,217,-0.797987..2.498767,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T143556-phase6e-aim-tfv1\20260719T143404-a76247fb-flight.jsonl
20260719T143525-a76247fb,fixtures/20260719T143556-phase6e-aim-tfv1,shadow-only-excluded,0,0,172,-1.004224..0.183845,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T143556-phase6e-aim-tfv1\20260719T143525-a76247fb-flight.jsonl
20260719T144540-a76247fb,fixtures/20260719T145242-phase6f-repeat,shadow-only-excluded,0,0,151,-0.966107..0.695886,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T145242-phase6f-repeat\20260719T144540-a76247fb-flight.jsonl
